CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
MSN,2020,4,4.0541750254,3.623862243,1.980888307317709,1.6544262225729967,0.7249347595,1.7088522231,7.805147680441788,68.968463222,38.5329777232,115.30658862564178,5.2922739314,0.053607876948809675,0.24142926992257377,0.012279248100340697,0.0320853635,0.019320859,0.0115848464,6265703000000.0,1157905000000.0,,0.7655548037,0.1986240241,0.4440621903,-1.0173508575706163,4.623862243005761,115118958108000.0,1174683246.0,93.2906262814,7.223087316,1.4908343178,85.191325976,225.78512199194165,13567.6056113598,27.312296339
MSN,2020,3,2.9868609082,2.8210088385,1.6649649793941306,1.890092215599141,0.6393407872,1.5462357782,9.133431935361864,77.9121445145,40.6966621878,127.74223863766187,4.6847638744,0.03225477716081104,0.23833806232694188,0.04212372741129699,0.0592088261,0.025372079,0.0232021,5210152000000.0,652008000000.0,,0.6827707295,0.1497224314,0.3777245448,-0.5976466576654118,3.82100883852054,96324026172000.0,1174683246.0,39.6850826025,4.6849036056,1.4464377908,19.195114754,724.8779642507985,17503.0282163401,29.2382650587
MSN,2020,2,2.4326341715,2.3635373861,1.368829285069906,2.0634346911956034,0.5829354604,1.4616169786,10.068354246012982,82.5138192448,41.1430139229,133.725187413713,4.4235014612,-0.010222115003493676,0.21921086690582248,0.010996161176766321,0.0876065421,0.0291380629,0.0399502596,5809404000000.0,-181610000000.0,,0.6636391519,0.1260770054,0.3485838045,0.21051179600953743,3.3635373860887867,98673392664000.0,1174683246.0,25.912097281,4.2636771166,1.7827966466,20.7072200053,166.3103655093758,19701.3042271653,25.9523735419
MSN,2020,1,1.0938960883,1.0376783079,0.7977803107790638,3.408384604865889,0.5464551007,1.3662070819,10.83644254410982,83.8285361119,41.3481866499,136.0131653059098,4.3541258971,0.003028248705449334,0.22460640449285948,-0.00442849693668414,0.1036873242,0.0411283757,0.0538393761,6865893000000.0,53411000000.0,,0.9346592391,0.1270328087,0.6412691093,-0.07872387465731215,2.0376783079403165,58213533060600.0,1168946447.0,12.6026243477,1.3734989091,1.2430408683,8.8604877025,-66.8191431698667,36257.7645098912,14.9961850644
MSN,2019,4,0.8034910187,0.8751250352,0.7861428276262171,3.4296677711159447,0.4615152139,1.0673288067,13.503600556491246,97.2871723968,57.8417649774,168.63253793069126,3.7517793046,0.1422491366599649,0.3078883353725375,0.13192641153123263,0.1292938187,0.0591279954,0.0686646034,7591429000000.0,1561282000000.0,,0.7956755879,0.2385090006,0.4801252557,-3.330258928323845,1.8751250351547697,68734051083600.0,1168946447.0,12.3676419644,1.6066822045,1.8400677571,13.4663724576,1238.7077301240986,36597.1564478351,12.0824803978
MSN,2019,3,0.9288920735999999,0.8799430804,0.6959801811781947,2.5457993893400435,0.5618737545,1.3370525411,12.745085924619541,75.3858864891,32.6249106778,120.75588309151955,4.841755095,0.0999124095730594,0.27114494793917177,0.24843009074056005,0.1462214102,0.0747410246,0.0777146376,7549137000000.0,896002000000.0,,0.8840117077,0.3457293843,0.6073293243,-1.8195667978538907,1.879943080446797,62421740269800.0,1168946447.0,11.8626608338,1.8552302234,1.645436426,23.2970664753,1905.895694124985,28783.4896853919,11.3140059943
MSN,2019,2,0.9885252247,0.8879945547,0.7876351939738236,2.381370159598339,0.5812283102,1.3234022832,11.595959496173437,71.8704177697,33.035099852,116.50147711787343,5.0785846434,0.13248525496672955,0.28834278895741083,0.10986591611197911,0.118377401,0.0881381013,0.0574102032,8016362000000.0,1225542000000.0,,0.7825943335,0.2641677741,0.4557570641,-2.716472497074157,1.8879945547428698,86502037078000.0,1168946447.0,22.3158181944,2.7655102975,2.2680277697,22.6447159631,869.4187852730605,26758.171925048,13.7543151217
MSN,2019,1,1.0415150458,0.8634762395,0.8336114395917776,2.3077179477334933,0.5889006657,1.3131862486,10.417208225333386,68.6298024855,32.4799457764,111.52695648723338,5.3183891951,0.14215706578896736,0.3018313941874889,0.1060516006991072,0.1753418268,0.0921757356,0.0768082151,8085651000000.0,1160019000000.0,,0.8117146703,0.2034658234,0.4404180126,-2.557248357656188,1.8634762395367168,93398821115300.0,1168946447.0,17.8221678884,3.0919820357,2.4531030153,33.4882584175,740.3196290308755,25841.0298243543,14.6251526458
MSN,2018,4,1.0195834891,0.8949302573,0.8569260542895974,2.2525643018219674,0.5961825155,1.2937653255,13.11943856038853,60.6141422017,33.9156217422,107.64920250428854,6.0216970288,0.1299102205750154,0.3061553146156017,0.09841820499638256,0.181070196,0.0990059297,0.0767560214,8256986000000.0,1501487000000.0,,0.7913396936,0.2903285521,0.517009227,-2.7845432864386095,1.8949302572635809,102240845269200.0,1163149548.0,20.795464952,3.4673494391,2.6773298074,23.2834974901,977.9533525640849,25350.7763044757,16.5001666794
MSN,2018,3,2.7414006777999997,1.9100601087,1.2837204215306084,1.4721671962720326,0.5788173881,1.2605916446,10.006622381129153,69.6623961857,32.8120129778,112.48103154462916,5.2395556281,0.1513436293048987,0.3024454186372045,0.08155938588784165,0.2696445135,0.0994464142,0.0891670309,8320530000000.0,1388026000000.0,,0.9744274122,0.3585291176,0.6196815733,-1.8335297163630215,2.9100601086588407,92005129246800.0,1163149548.0,15.3073415496,5.2217591084,2.5002022265,19.2897358377,643.0901351302421,15148.1518694619,15.1439787185
