CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,"Chi trả cho việc mua lại, trả cổ phiếu",Thu lãi và cổ tức,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả,Cố tức đã nhận
FRT,2020,2,-20665855301.0,347017899.0,5004780483.0,5950300000.0,,-11349328474.0,32969342623.0,-5198326968.0,160086841027.0,695684663467.0,-147763360822.0,-4190744214.0,-39071586711.0,-13939138962.0,-386590000.0,0.0,645221756817.0,-387154545.0,0.0,369243030014.0,-280734168154.0,0.0,,39451074110.0,127572781425.0,0.0,2306914535869.0,-3403539987005.0,,0.0,-1096625451136.0,-323830912894.0,912494905900.0,0.0,588663993006.0,,,,0.0,0.0,,,
FRT,2020,1,46997871499.0,305820102.0,2592474179.0,-5950300000.0,,-19402780881.0,44337261459.0,68880346358.0,81281895644.0,368371347217.0,-612745359808.0,13480876537.0,-38404634873.0,-9667141268.0,386590000.0,-5519703000.0,-133935783193.0,-1711060819.0,0.0,-399692974435.0,578234168154.0,0.0,,7548420992.0,184378553892.0,0.0,4394694284075.0,-4402291702459.0,,0.0,-7597418384.0,42845352315.0,869649553585.0,0.0,912494905900.0,,,,0.0,0.0,,,
FRT,2019,4,-13854503636.0,238022092.0,9709953001.0,0.0,,-619353133695.0,40207790657.0,-583051871581.0,-460394265674.0,-1049338916814.0,1165927974762.0,-26330815436.0,-41121763260.0,-19229352224.0,0.0,0.0,-1013539010227.0,-354181817.0,0.0,-41150000000.0,0.0,0.0,,0.0,-41504181817.0,0.0,4442181702816.0,-3605880320266.0,,0.0,822301382550.0,-232741809494.0,1152391363079.0,0.0,919649553585.0,,,,-14000000000.0,0.0,,,
FRT,2019,3,91051652372.0,220697087.0,10242244214.0,-412200000.0,,16339532951.0,35199660238.0,152641586862.0,474940867706.0,-185130970762.0,-908254142637.0,-29196712019.0,-34993174789.0,-26357390766.0,0.0,512175011.0,-555837761394.0,-707371892.0,0.0,744316593003.0,-256570450000.0,0.0,,-14487445583.0,472551325528.0,103017920000.0,3056567204035.0,-2906065625315.0,,-103205540100.0,150313958620.0,67027522754.0,1085363840325.0,0.0,1152391363079.0,,,,0.0,0.0,,,
FRT,2019,2,120444550991.0,162688824.0,-1685082013.0,412200000.0,,-10519493671.0,30465911276.0,139280775407.0,228018931035.0,241495525083.0,-189007947076.0,-16115088751.0,-29515136450.0,-16387301233.0,0.0,-512175011.0,357257583004.0,-818181819.0,0.0,-744316593003.0,256570450000.0,0.0,,8667406303.0,-479896918519.0,6800000000.0,2540170655532.0,-1812935503378.0,,-68492379900.0,665542772254.0,542903436739.0,542460403586.0,0.0,1085363840325.0,,,,0.0,0.0,,,
FRT,2019,1,80360959525.0,215227949.0,592393185.0,0.0,,-5820039280.0,32165243647.0,107513785026.0,-71589236351.0,120200840554.0,223714681468.0,5972484873.0,-32165243648.0,-20174777790.0,0.0,0.0,333472534132.0,-1936040656.0,0.0,0.0,0.0,0.0,,5820039280.0,3883998624.0,0.0,2182776136518.0,-2926050660514.0,,0.0,-743274523996.0,-405917991240.0,948378394826.0,0.0,542460403586.0,,,,0.0,0.0,,,
FRT,2018,4,150508705526.0,25236199.0,2768912084.0,0.0,,0.0,28203274925.0,181506128734.0,-233585639526.0,-737515305772.0,45913488930.0,-27517492048.0,-28203274925.0,-30220749627.0,0.0,0.0,-829622844234.0,32395379.0,0.0,0.0,0.0,0.0,,0.0,32395379.0,305000000000.0,2978025779993.0,-1978815785495.0,,-280000000000.0,1024209994498.0,194619545643.0,874117915376.0,0.0,1068737461019.0,,,,0.0,0.0,,,
FRT,2018,3,101103748136.0,216075389.0,2141760253.0,-5078450000.0,,0.0,76227323043.0,130524795411.0,-13883928445.0,128213500508.0,190006294566.0,-48379474318.0,-24794821180.0,-20661906094.0,0.0,9581934499.0,350606394947.0,44774065671.0,0.0,253409066193.0,0.0,0.0,,-9650297637.0,288532834227.0,0.0,1304176423294.0,-1472493050000.0,,0.0,-168316626706.0,470822602468.0,403295312908.0,0.0,874117915376.0,,,,0.0,-44085661410.0,,,
FRT,2018,2,103309530471.0,258302455.0,9399052141.0,5078450000.0,,4884584001.0,-31098856610.0,135916723868.0,31665131930.0,-10298098657.0,272336937154.0,44844044585.0,-20333645253.0,-15970642847.0,0.0,-9581934499.0,428578516281.0,-44828007712.0,0.0,-253409066193.0,0.0,0.0,,4765713636.0,-293471360269.0,0.0,2113484436815.0,-2451067912540.0,,0.0,-337583475725.0,-202476319713.0,605771632622.0,-1.0,403295312908.0,,,,0.0,44085661410.0,,,
FRT,2018,1,79853214234.0,260957547.0,167904987.0,0.0,,-4884584001.0,22338766505.0,97736259272.0,-117374979282.0,-170634526944.0,-1087011024290.0,7354619419.0,-22338766505.0,-25880128524.0,0.0,0.0,-1318148546854.0,0.0,0.0,0.0,0.0,0.0,,4884584001.0,4884584001.0,0.0,2749127092540.0,-1468167592760.0,,0.0,1280959499780.0,-32304463073.0,638076095694.0,1.0,605771632622.0,,,,0.0,0.0,,,
