CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
BCM,2018,1,0.0,1973446241603,456880531473,0.0,9333288603.0,-168365263993.0,1973446241603.0,-66774937416.0,1906671304187.0,-1248900415964.0,657770888223.0,-178573972106.0,203648181953.0,-110281687703.0,-85707489510,496189209460.0,9889036724.0,,-2454037132.0,7434999592.0,503624209052,-20002508301,-19993187.0,483601707564,26721176091.0,456880531473,,,,,,,,,,,,,,,,,,
BID,2024,4,-0.02738601271513164,36469243000000,7810117000000,0.2857672960685908,,,,,,,,,,,-9558439000000,,,,,,9938144000000,-1989607000000,-2114000000.0,7946423000000,-136306000000.0,7810117000000,36469243000000.0,-20830514000000.0,15638729000000.0,3372210000000.0,-1404671000000.0,1967539000000.0,1438799000000.0,102793000000.0,5164422000000.0,3964823000000.0,-2015616000000.0,1949207000000.0,144692000000.0,26406181000000.0,16847742000000.0,-6909598000000.0,-1991721000000.0,3204.0
BID,2024,3,-0.09914876767406165,34326293000000,5151318000000,0.12403510456306951,,,,,,,,,,,-6307180000000,,,,,,6498279000000,-1286319000000,1906000000.0,5213866000000,-62548000000.0,5151318000000,34326293000000.0,-20336569000000.0,13989724000000.0,3013677000000.0,-1538699000000.0,1474978000000.0,732488000000.0,-63874000000.0,-485528000000.0,2032606000000.0,-527789000000.0,1504817000000.0,105983000000.0,17258588000000.0,10951408000000.0,-4453129000000.0,-1284413000000.0,0.0
BID,2024,2,-0.1402337966773458,33896893000000,6365954000000,0.17320250476674554,,,,,,,,,,,-6708592000000,,,,,,8158532000000,-1634617000000,4254000000.0,6528169000000,-162215000000.0,6365954000000,33896893000000.0,-19059130000000.0,14837763000000.0,3781124000000.0,-1842209000000.0,1938915000000.0,1725068000000.0,78745000000.0,512528000000.0,2045849000000.0,-1013428000000.0,1032421000000.0,99423000000.0,20224863000000.0,13516271000000.0,-5357739000000.0,-1630363000000.0,0.0
BID,2024,1,-0.1096913288431146,33595982000000,5812648000000,0.06293668441687636,,,,,,,,,,,-5392606000000,,,,,,7389914000000,-1474084000000,-251000000.0,5915579000000,-102931000000.0,5812648000000,33595982000000.0,-20054622000000.0,13541360000000.0,3298301000000.0,-1605288000000.0,1693013000000.0,1465144000000.0,166849000000.0,-291092000000.0,1148615000000.0,-648299000000.0,500316000000.0,95644000000.0,17171234000000.0,11778628000000.0,-4388714000000.0,-1474335000000.0,0.0
BID,2023,4,0.10304607015712124,37496112000000,6074285000000,0.48918333379505496,,,,,,,,,,,-7829831000000,,,,,,7886764000000,-1698137000000,1998000000.0,6190625000000,-116340000000.0,6074285000000,37496112000000.0,-22627024000000.0,14869088000000.0,3235666000000.0,-1618754000000.0,1616912000000.0,1567446000000.0,11683000000.0,3137818000000.0,2408324000000.0,-3084781000000.0,-676457000000.0,75128000000.0,20601618000000.0,12771787000000.0,-4885023000000.0,-1696139000000.0,0.0
BID,2023,3,0.2442560774990954,38104286000000,4582880000000,-0.13169416342235518,,,,,,,,,,,-6044456000000,,,,,,5892788000000,-1164722000000,-131000000.0,4727935000000,-145055000000.0,4582880000000,38104286000000.0,-24321190000000.0,13783096000000.0,2894636000000.0,-1130384000000.0,1764252000000.0,1682640000000.0,114410000000.0,-294874000000.0,1478082000000.0,-737064000000.0,741018000000.0,96319000000.0,17886861000000.0,11842405000000.0,-5949617000000.0,-1164853000000.0,0.0
BID,2023,2,0.33955475802470586,39425710000000,5426134000000,0.05201286037481831,,,,,,,,,,,-6373642000000,,,,,,6950633000000,-1403782000000,2986000000.0,5549837000000,-123703000000.0,5426134000000,39425710000000.0,-25878522000000.0,13547188000000.0,3088401000000.0,-1414487000000.0,1673914000000.0,784558000000.0,113573000000.0,28924000000.0,1407098000000.0,-372014000000.0,1035084000000.0,73920000000.0,17257161000000.0,10883519000000.0,-3932886000000.0,-1400796000000.0,0.0
BID,2023,1,0.4001210475645615,37735207000000,5468480000000,0.5312895529743836,,,,,,,,,,,-4831771000000,,,,,,6919579000000,-1360181000000,-357000000.0,5559041000000,-90561000000.0,5468480000000,37735207000000.0,-23799014000000.0,13936193000000.0,2673226000000.0,-1155827000000.0,1517399000000.0,672727000000.0,65730000000.0,-165000000.0,1248911000000.0,-272307000000.0,976604000000.0,109908000000.0,17278396000000.0,12446625000000.0,-5527046000000.0,-1360538000000.0,0.0
BID,2022,4,0.3713508361093916,33993242000000,4078937000000,0.8392612359449232,,,,,,,,,,,-7744782000000,,,,,,5245911000000,-1103093000000,14174000000.0,4156992000000,-78055000000.0,4078937000000,33993242000000.0,-19565041000000.0,14428201000000.0,2889252000000.0,-1455874000000.0,1433378000000.0,1125578000000.0,30429000000.0,141302000000.0,1641539000000.0,-1277850000000.0,363689000000.0,44232000000.0,17566809000000.0,9822027000000.0,-4576116000000.0,-1088919000000.0,0.0
BID,2022,3,0.17832007184700413,30624151000000,5277956000000,1.577106819477973,,,,,,,,,,,-5452199000000,,,,,,6673383000000,-1319050000000,-101000000.0,5354232000000,-76276000000.0,5277956000000,30624151000000.0,-16525726000000.0,14098425000000.0,2571483000000.0,-1130268000000.0,1441215000000.0,801464000000.0,5751000000.0,51446000000.0,1526207000000.0,-469647000000.0,1056560000000.0,99667000000.0,17554528000000.0,12102329000000.0,-5428946000000.0,-1319151000000.0,0.0
BID,2022,2,0.12459881746510373,29431951000000,5157859000000,0.4097472006542193,,,,,,,,,,,-5195589000000,,,,,,6489854000000,-1290255000000,36000000.0,5199635000000,-41776000000.0,5157859000000,29431951000000.0,-14824806000000.0,14607145000000.0,2688001000000.0,-1186262000000.0,1501739000000.0,625061000000.0,-65939000000.0,64127000000.0,1702707000000.0,-367014000000.0,1335693000000.0,63616000000.0,18131442000000.0,12935853000000.0,-6445999000000.0,-1290219000000.0,0.0
BID,2022,1,0.12025605364315926,26951389000000,3571160000000,0.34855560720612266,,,,,,,,,,,-4322027000000,,,,,,4513501000000,-876776000000,940000000.0,3637665000000,-66505000000.0,3571160000000,26951389000000.0,-14125462000000.0,12825927000000.0,2196838000000.0,-921744000000.0,1275094000000.0,584510000000.0,-1905000000.0,1592000000.0,1659699000000.0,-201554000000.0,1458145000000.0,83437000000.0,16226800000000.0,11904773000000.0,-7391272000000.0,-875836000000.0,0.0
