id,sub_organ_code,organ_name,ownership_percent,symbol
22252310,VDL,Công ty Cổ phần Thực phẩm Lâm Đồng,0.383,VLC
22252311,VINATEA,Tổng Công ty Chè Việt Nam - Công ty Cổ phần,0.1623,VLC
22252532,FIT,Công ty Cổ phần Tập đoàn F.I.T,0.0,VKD
22252264,CRTC,CÔNG TY CỔ PHẦN NHÀ GA QUỐC TẾ CAM RANH,0.1,VJC
22252265,F000027152,Thai Vietjet Air Joint Stock Company Limited,0.09,VJC
22252523,0100110528,Công ty Cổ Phần Đầu Tư Và Xây Dựng Trường An- Viwaseen,0.3709,VIW
22252524,0101397873,Công ty Cổ Phần Dịch Vụ Kỹ Thuật,0.2,VIW
22252525,0103931748,Công ty Cổ Phần Đầu Tư Xây Dựng Hạ Tầng Viwaseen,0.26,VIW
22252526,3600254629,Công ty TNHH Ống Gang Cầu Đài Việt,0.3334,VIW
22252527,4201574467,Công ty Cổ Phần Đầu Tư Xây Dựng Cấp Thoát Nước Suối Dầu,0.5,VIW
22252528,PVOILPT,Công ty Cổ Phần Xăng Dầu Dầu Khí Phú Thọ,0.15,VIW
22252529,PWACO,Công ty Cổ phần Bất động sản dầu khí,0.249,VIW
22252503,VGCTRA,Công ty Cổ Phần Thương Mại Viglacera,0.0457,VIT
22252504,VIKD,Công ty Cổ Phần Kinh Doanh Gạch Ốp Lát Viglacera,0.4,VIT
22252499,VNRG,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,0.0,VIR
22252489,VPTJ,Công ty Cổ phần Vận tải Hóa dầu VP,0.451,VIP
22252321,12552,Công ty TNHH Vận Tải Việt Nhật,0.217,VIN
22252322,12553,Công ty TNHH Nissin Logistics (vn),0.29,VIN
22252323,12554,Công ty TNHH Lotte Vinatrans Global Logistics,0.49,VIN
22252324,AGILITY,Công ty TNHH Agility,0.29,VIN
22251907,VIKD,Công ty Cổ Phần Kinh Doanh Gạch Ốp Lát Viglacera,0.3,VIH
22252365,0100101883,Công ty Cổ Phần Lâm Đặc Sản- Mây Tre Xuất Khẩu,0.35,VIF
22252366,0100102566,Công ty Cổ Phần Giống Lâm Nghiệp Trung Ương,0.481,VIF
22252367,0100103094,Công Ty Cổ Phần Thương Mại Công Nghiệp Và Chế Biến Gỗ,0.2969,VIF
22252368,0100103471,Công ty Cổ Phần Xây Lắp Đầu Tư Phát Triển Nông Lâm Nghiệp Việt Nam,0.2,VIF
22252369,0100774342,Công ty TNHH Yamaha Motor Việt Nam,0.3,VIF
22252370,0100853241,Công ty Cổ Phần Thương Mại Lâm Sản Hà Nội,0.3,VIF
22252371,0101328340,Công Ty Cổ Phần Cờ Đỏ,0.4578,VIF
22252372,0300634374,Công ty Cổ phần Cơ Khí Lâm Nghiệp Sài Gòn,0.3107,VIF
22252373,0300644245,Công Ty Cổ Phần Xuất Nhập Khẩu Lâm Nông Sản Sài Gòn,0.3,VIF
22252374,0307817031,Công ty TNHH Việt Thành Thái,0.35,VIF
22252375,0400100792,Công ty TNHH Sản Xuất Nguyên Liệu Giấy Việt - Nhật,0.3997,VIF
22252376,2600248623,Công ty Cổ Phần 19/5 Đoan Hùng,0.4901,VIF
22252377,3000267182,Công ty TNHH Sản Xuất Nguyên Liệu Giấy Việt Nhật Vũng Áng,0.4,VIF
22252378,3502475651,Công ty TNHH Năng lượng tái tạo UNI-VINAFOR Châu Đức,0.45,VIF
22252379,3600223684,Công ty Liên Doanh Nuôi Và Phát Triển Khỉ Việt Nam,0.4,VIF
22252380,4100258994,Công ty CP Lâm Nghiệp 19,0.3,VIF
22252381,5700481587,Công ty TNHH Sản Xuất Nguyên Liệu Giấy Việt Nhật Cái Lân,0.49,VIF
22252382,5900189269,Công ty Cổ Phần Kon Hà Nừng,0.3,VIF
22252383,6000449861,Công ty Cổ Phần Gỗ Lạng Buôn Ma Thuột,0.3,VIF
22252384,FORMA,Công ty Cổ Phần Formach,0.0,VIF
22252385,NAFORIMEX,Công ty Cổ Phần Sản Xuất Và Xuất Nhập Khẩu Lâm Sản Naforimex Hà Nội,0.3,VIF
22252386,QNWC,Công ty TNHH Nguyên Liệu Giấy Qui Nhơn,0.22,VIF
22252217,0306213397,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN GIÁO DỤC HOÀNG VIỆT,0.387,VID
22252218,1800531192,CÔNG TY CP  SÁCH VÀ DỊCH VỤ VĂN HOÁ TÂY ĐÔ,0.4148,VID
22252219,3602215897,CÔNG TY CỔ PHẦN ẤN TƯỢNG VIỆT,0.45,VID
22252220,5800468371,CÔNG TY CỔ PHẦN CHÈ MINH RỒNG,0.2704,VID
22252221,SVT,Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông,0.3327,VID
22252198,0110347205,Công ty Cổ phần Aivicam,0.4973,VIC
22252199,FTCO,Công ty Cổ phần Bê tông Ngoại Thương,0.0,VIC
22252200,ONEMOUNT,Công ty Cổ phần One Mount Group,0.2622,VIC
22252201,TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,0.0,VIC
22252202,TTPACK,Công Ty Cổ Phần Bao Bì Trường Thành,0.0,VIC
22252203,VRJSC,Công ty Cổ phần Vincom Retail,0.1837,VIC
22249198,12570,Công Ty Cổ Phần Đầu Tư Cam Ranh,0.4626,VHM
22249199,12611,Công ty CP Đầu Tư Hiệp Thành Công,0.49,VHM
22249200,12612,Công ty CP Du Lịch Cá Tầm,0.4867,VHM
22252082,DTC,Công ty Cổ phần Viglacera Đông Triều,0.4,VHL
22252083,VHL2,Công ty Cổ Phần Viglacera Hạ Long Ii,0.4,VHL
22252247,DOTHACO,Công ty Cổ phần Đồng Tháp,0.2529,VHI
22252248,HNPHARM,Công ty Cổ phần Dược phẩm Hà Nội,0.4,VHI
22252249,SHOEHAMEX,CÔNG TY CỔ PHẦN GIẦY NGỌC HÀ ,0.2933,VHI
22252250,VIETHABEER,CÔNG TY CỔ PHẦN  BIA VÀ NƯỚC GIẢI KHÁT VIỆT HÀ.,0.3723,VHI
22252074,12550,Công ty Cổ Phần Sản Xuất Ứng Dụng Công Nghệ Cao Thái Sơn,0.0,VHG
22252075,QNRUBBERIND,Công ty Cổ phần Tây Bà Nà,0.4,VHG
22252072,0100111962,Công ty TNHH Ftc - Tung Shing,0.3,VHF
22252070,10774,Công ty TNHH Mai Thiên Thanh,0.275,VHC
22252587,CNX,Công ty Cổ Phần Công Nghệ Và Tư Vấn Cic,0.49,VGV
22252588,CONIN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",0.197045,VGV
22252589,ICS,"Công ty CP Kiểm Định Kỹ Thuật, An Toàn Và Tư Vấn Xây Dựng - Incosaf",0.49,VGV
22252590,NAGECO,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,0.4857,VGV
22252591,VIWASE,Công ty Cổ phần Nước và Môi trường Việt Nam,0.3535,VGV
22252431,0100100008-009,Công ty Cổ Phần Tư Vấn Xây Dựng Và Dịch Vụ Đầu Tư,0.2346,VGT
22252432,0100101058,Công Ty Cổ Phần May Chiến Thắng,0.1744,VGT
22252433,0300650217,Công Ty Tnhh May Mặc Xuất Khẩu Tân Châu,0.44,VGT
22252434,0306192669,Công ty Cổ Phần Dệt May Viễn Thông Sài Gòn Vi Na,0.3,VGT
22252435,BMIG,Công ty Cổ phần May Bình Minh,0.25,VGT
22252436,DAGAR,Công ty Cổ phần Tổng Công ty May Đáp Cầu,0.2404,VGT
22252437,DGMC,Công ty Cổ phần Tổng Công ty May Đồng Nai,0.257,VGT
22252438,DUGRACO,Tổng Công ty Đức Giang - Công ty Cổ phần,0.3522,VGT
22252439,HUGA,Công ty Cổ phần May Hữu Nghị,0.2924,VGT
22252440,HUGACO,Tổng công ty May Hưng Yên - Công ty Cổ phần,0.3501,VGT
22252441,LPTEX,Công ty Cổ Phần Dệt May Liên Phương,0.1911,VGT
22252442,NAGA,Công ty Cổ phần May Nam Định,0.2857,VGT
22252443,NHABE,Tổng Công ty May Nhà Bè - Công ty Cổ phần,0.252,VGT
22252444,VDN,Công ty Cổ phần Vinatex Đà Nẵng,0.272817,VGT
22252445,VICOTEX,Tổng Công ty Việt Thắng - CTCP,0.46928,VGT
22252446,VINATEXIN,Công ty Cổ phần Đầu tư Phát triển Vinatex,0.351,VGT
22252447,VTEC,Tổng Công Ty Cổ phần May Việt Tiến,0.304,VGT
22252050,SVGC,Công ty Cổ phần Tập đoàn Sản xuất Thép Việt Đức,0.286,VGS
22253069,STARTELE,Công ty TNHH Viễn Thông Star Telecom,0.49,VGI
22253070,TELEMY,Công ty TNHH Telecom International Myanmar,0.49,VGI
22253039,0300401524-009,Viet Tien Tung Shing Corporation T-as Vts Corporation,0.25,VGG
22253040,0303338694,Công ty Cổ phần Đầu Tư Và Phát Triển Bình Thắng,0.3153,VGG
22253041,0304059245,Công Ty Cổ Phần Cơ Khí Thủ Đức,0.258,VGG
22253042,1200353036,Công ty Cổ Phần May Việt Tân,0.3498,VGG
22253043,1201077124,Công ty TNHH Việt Khánh,0.4,VGG
22253044,1201538537,Công ty TNHH May Việt Long Hưng,0.4,VGG
22253045,1500476705,Công Ty Cổ Phần May Vĩnh Tiến,0.26,VGG
22253046,1801707025,Công Ty Cổ Phần May Việt Long Giang,0.25,VGG
22253047,3702951770,Công ty TNHH Việt Thái Tech,0.25,VGG
22253048,4500137440,Công ty Cổ Phần Kinh Doanh Tổng Hợp Ninh Thuận,0.3498,VGG
22253049,BATEX,Công Ty Cổ Phần Nguyên Phụ Liệu Dệt May Bình An ( Tên Cũ: Công Ty Cổ Phần Phụ Liệu Dệt May Bình An ),0.2085,VGG
22253050,CTGC,Công ty Cổ Phần May Công Tiến,0.2838,VGG
22253051,DOVIT,CÔNG TY CỔ PHẦN ĐỒNG TIẾN,0.2606,VGG
22253052,TDGC,Công Ty CP May Tây Đô,0.4583,VGG
22253053,TTJSC,Công ty Cổ Phần May Tiền Tiến,0.333,VGG
22253054,VHJSC,Công ty CP Việt Hưng.,0.35,VGG
22253055,VINATEX,Tập đoàn Dệt May Việt Nam,0.0,VGG
22253056,VTDAJ,Công ty Cổ Phần Việt Tiến Đông Á,0.25,VGG
22253057,VTGC,Công ty Cp May Việt Thịnh,0.2524,VGG
22253058,VTPB,Công ty Liên Doanh Sản Xuất Nút Nhựa Việt Thuận,0.4,VGG
22253059,VTTT,Công Ty TNHH Nhãn Thời Gian Việt Tiến,0.49,VGG
22252027,VFGC,Công ty TNHH Kính Nổi Việt Nam,0.35294,VGC
22252028,12557,Công ty Cổ Phần Gạch Chịu Lửa Cầu Đuống,0.25,VGC
22252029,CDREF,Công ty Cổ phần Vật liệu chịu lửa Cầu Đuống,0.0,VGC
22252030,DTC,Công ty Cổ phần Viglacera Đông Triều,0.0,VGC
22252031,HLY,Công ty Cổ phần Gốm xây dựng Yên Hưng,0.26,VGC
22252032,PFGC,Công ty TNHH Kính Nổi Siêu Trắng Phú Mỹ,0.65,VGC
22252033,VFGC,Công ty TNHH Kính Nổi Việt Nam,0.35294,VGC
22252034,VGCEXIM,Công ty Cổ Phần Đầu Tư Và Xuất Nhập Khẩu Viglacera,0.25,VGC
22252035,VHL2,Công ty Cổ Phần Viglacera Hạ Long Ii,0.4,VGC
22252036,VTS,Công ty Cổ phần Gạch Ngói Từ Sơn,0.2493,VGC
22252002,HASV,Công ty TNHH Heung-A Shipping Việt Nam,0.3,VFR
22251990,4200586780,Công ty TNHH Hải Yến,0.6667,VFG
22251959,AGIMECO,Công ty Cổ phần Cơ khí An Giang,0.4741,VEA
22251960,HONDAVN,Công Ty Honda Việt Nam,0.3,VEA
22251961,MATEXIMHP,Công ty Cổ Phần Matexim Hải Phòng,0.2038,VEA
22251962,NAKYCO,Công ty Cổ Phần Nakyco,0.49,VEA
22251963,TOYOTA,Công ty Ô Tô Toyota Việt Nam,0.2,VEA
22251964,VEAMTAYHO,Công ty Cổ Phần Đầu Tư Veam Tây Hồ,0.29,VEA
22251945,4201185735,Công Ty Cổ Phần Điện Địa Nhiệt Lioa,0.2,VE9
22251942,VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,0.0,VE2
22251941,VNSTEEL,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,0.0,VDT
22251932,12548,Công ty Cổ Phần May Vinatex Đức Phổ,0.24,VDN
22251933,NHABELDRY,Công ty TNHH Giặt Tẩy Nhà Bè,0.31,VDN
22251934,VINATEX,Tập đoàn Dệt May Việt Nam,0.0,VDN
22253098,DAMSAN,Công ty Cổ phần DAMSAN,0.0,VDM
22251927,GTN,Công ty Cổ phần GTNfoods,0.0,VDL
22251928,VILICO,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,0.0,VDL
22251920,5200277488,Công ty Cổ Phần Đá Trắng Yên Bình,0.3283,VCX
22251921,6200105240,Công ty CP Xi Măng Norcem Yên Bình Tại Lai Châu,0.4,VCX
22251922,VC9,Công ty Cổ phần Xây dựng số 9 - VC9,0.0,VCX
22251912,0110556985,Công ty Cổ Phần Nhân Lực Và Thương Mại Vina-mec Hr,0.2,VCM
22251897,3603824115,Công ty TNHH Bê Tông Nhựa Vinaconex - Tấn Lộc,0.5,VCG
22251898,5701928613,Công ty Cổ Phần Cảng Quốc Tế Vạn Ninh,0.4,VCG
22251899,VINASINCO,Công ty Cổ Phần Đầu Tư Và Dịch Vụ Đô Thị Việt Nam,0.4291,VCG
22251900,BOTHNBG,Công Ty CP Đầu Tư Bot Hà Nội - Bắc Giang,0.21,VCG
22251901,CPCM,Công ty Cổ phần Xi măng Cẩm Phả,0.3,VCG
22251902,V11,Công ty Cổ phần Xây dựng số 11,0.0,VCG
22251903,V12,Công ty Cổ phần Xây dựng số 12,0.18,VCG
22251904,VC9,Công ty Cổ phần Xây dựng số 9 - VC9,0.0,VCG
22251852,VCBB,Công Ty Liên Doanh Trách Nhiệm Hữu Hạn Vietcombank-bonday-benthanh,0.52,VCB
22251853,VCBF,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank,0.51,VCB
22251854,VCBBONDAY,Công ty Liên Doanh Hữu Hạn Vietcombank-bonday,0.16,VCB
22251855,VCBB,Công Ty Liên Doanh Trách Nhiệm Hữu Hạn Vietcombank-bonday-benthanh,0.52,VCB
22251856,VCBF,Công ty TNHH Quản lý quỹ đầu tư chứng khoán Vietcombank,0.51,VCB
22251857,VCLI,Công ty TNHH Bảo hiểm FWD Việt Nam,0.45,VCB
22251843,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,0.0,VC9
22251842,VCX,Công ty Cổ phần Xi măng Yên Bình,0.0,VC9
22251840,0104230537,Công ty Cổ Phần Tập Đoàn Iuc,0.3947,VC7
22251841,5400516197,Công ty TNHH Iuc Hòa Bình Hill,0.3,VC7
22251836,0109929488,Công ty Cổ Phần Mekonghomes,0.3,VC3
22251826,2500671899,Công ty Cổ Phần Vina2 Homes,0.3,VC2
22251827,MST,Công ty Cổ phần Đầu tư MST,0.0,VC2
22251820,0302720205,Công ty Cổ Phần Thương Mại Dịch Vụ Bình Minh,0.3002,VBH
22251805,12541,Công ty Cổ phần Xây dựng 504 - Vinaconex,0.425,V12
22251806,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,0.0,V12
22251804,VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,0.0,V11
22251801,0107396788,Công ty Cổ Phần Đầu Tư Phát Triển Nhà Số 5 Lạc Long Quân,0.4,USC
22251798,VNPHARM,Tổng Công ty Dược Việt Nam - CTCP,0.0,UPH
