id,sub_organ_code,ownership_percent,organ_name,type,symbol
22253076,0106328714,1.0,CÔNG TY TNHH THƯƠNG MẠI VÀ ĐẦU TƯ ĐỊA ỐC THĂNG LONG,công ty con,VTL
22253077,0107583611,0.45,Công ty Cổ Phần Thương Mại Và Dịch Vụ Vang Thăng Long,công ty con,VTL
22253078,TLW,1.0,CÔNG TY TNHH MTV RƯỢU VANG THĂNG LONG,công ty con,VTL
22253079,HAPRO,0.0,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,công ty liên kết,VTL
22253073,0109150860,1.0,Công ty TNHH Thương Mại Dịch Vụ Vtj Việt Nam,công ty con,VTJ
22253074,12550,0.405,Công ty Cổ Phần Sản Xuất Ứng Dụng Công Nghệ Cao Thái Sơn,công ty liên kết,VTJ
22246143,11104,0.5007,Công ty Cổ Phần Du Lịch Thùy Vân,công ty con,VTG
22246144,11105,0.96183,Công ty Cổ Phần Du Lịch Nghinh Phong,công ty con,VTG
22246145,3501454916,0.35,"Công Ty Cổ Phần Giải Trí, Thể Thao Minh Đạm",công ty liên kết,VTG
22252267,0317478116,1.0,Công Ty TNHH Vận Tải Vietrip,công ty con,VTD
22252268,CTC,0.2152,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên,công ty liên kết,VTD
22253009,0315174176,1.0,Công ty TNHH Cung Ứng Thuyền Viên Scc,công ty con,VST
22253010,0316801824,1.0,Công ty TNHH Quản Lý Tàu Biển Hải Đăng,công ty con,VST
22253011,VNLINES,0.0,Tổng Công ty Hàng hải Việt Nam - CTCP,công ty liên kết,VST
22252998,VSHCT,1.0,Công Ty TNHH Một Thành Viên Tư Vấn Và Dịch Vụ Kỹ Thuật V S H,công ty con,VSH
22252999,BIDIT,0.4972,CÔNG TY CỔ PHẦN DU LỊCH BÌNH ĐỊNH,công ty liên kết,VSH
22253000,GEN3,0.0,Tổng Công ty Phát điện 3 - Công ty Cổ phần,công ty liên kết,VSH
22253001,REE,0.0,Công ty Cổ phần Cơ điện Lạnh,công ty liên kết,VSH
22252629,0300606715,0.51,Công ty Cổ Phần Sài Gòn Lương Thực,công ty con,VSF
22252630,4300524509,0.51,Công ty Cổ Phần Lương Thực Quảng Ngãi,công ty con,VSF
22252631,4500243128,0.6627,Công ty Cổ Phần Lương Thực Nam Trung Bộ,công ty con,VSF
22252632,AGRIMEX,0.6205,Công ty Cổ phần Xuất nhập khẩu Nông Sản Thực Phẩm Cà Mau,công ty con,VSF
22252633,BIDIFOOD,0.51,Công ty Cổ phần Lương thực Bình Định,công ty con,VSF
22252634,BTG,0.6,Công ty Cổ phần Bao bì Tiền Giang,công ty con,VSF
22252635,FOODCOSA,0.5978,Công ty Cổ phần Lương thực Thành phố Hồ Chí Minh,công ty con,VSF
22252636,KIGIMEX,0.8331,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,công ty con,VSF
22252637,MCF,0.6,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,công ty con,VSF
22252638,SAF,0.513,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,công ty con,VSF
22252639,TOCHAU,0.654,Công ty Cổ phần Tô Châu,công ty con,VSF
22252640,2040173,0.37,Công ty Cổ Phần Lương Thực Cambodia - Việt Nam,công ty liên kết,VSF
22252641,0300604965,0.3,Công ty CP Hoàn Mỹ,công ty liên kết,VSF
22252642,2040173,0.37,Công ty Cổ Phần Lương Thực Cambodia - Việt Nam,công ty liên kết,VSF
22252643,COMIFOOD,0.3072,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,công ty liên kết,VSF
22252644,VLF,0.4,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long,công ty liên kết,VSF
22252983,12563,1.0,Công Ty Tnhh Một Thành Viên Dịch Vụ Cảng Xanh,công ty con,VSC
