CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
DIG,2022,1,0.05512489734623485,530699307049,63408483722,0.5285018777921879,23982038740.0,-37646218129.0,530699307049.0,-11758420089.0,518940886960.0,-346608197704.0,172332689256.0,-38102785876.0,-2726893542.0,-36166945028.0,-37683162116,81634941434.0,6019310546.0,0.0,-516151532.0,5503159014.0,87138100448,-25526101841,-22912967.0,61589085640,-1819398082.0,63408483722,,,,,,,,,,,,,,,,,,
DIG,2021,4,0.47479104989978693,924316363554,818358134896,0.6178539790790064,22949943330.0,-48873530711.0,924316363554.0,-10226841526.0,914089522028.0,-518123441789.0,395966080239.0,-49964387741.0,6120896247.0,-58431036422.0,-58305029404,258336466249.0,877711164842.0,0.0,-91979660612.0,785731504230.0,1044067970479,-230071048020,-22912967.0,813974009492,-4384125404.0,818358134896,,,,,,,,,,,,,,,,,,
DIG,2021,3,-0.44615904706125553,538721505462,43257197735,-0.3721895292621478,4417005373.0,-1620248242.0,538721505462.0,-209587259.0,538511918203.0,-361536166193.0,176975752010.0,-17615103362.0,-16477477029.0,-64171986585.0,-34061231970,49066958437.0,15764519958.0,0.0,-645414433.0,15119105525.0,64186063962,-19057623106,-2860345999.0,42268094857,-989102878.0,43257197735,,,,,,,,,,,,,,,,,,
DIG,2021,2,-0.011757160225929578,620926564409,50466173211,-0.219817747514438,6088359787.0,-17927898248.0,620926564409.0,-4054988259.0,616871576150.0,-402612110355.0,214259465795.0,-18028126939.0,10980761937.0,-52903540628.0,-37924492484,122472427468.0,7734074477.0,0.0,-69306549218.0,-61572474741.0,60899952727,-12488309389,2257532574.0,50669175912,203002701.0,50466173211,,,,,,,,,,,,,,,,,,
DIG,2021,1,0.8680384727250868,502972973516,41484073159,4.332307610724396,3237982062.0,-15580631997.0,502972973516.0,-2556007259.0,500416966257.0,-377333530337.0,123083435920.0,-15674323041.0,772933003.0,-22931671058.0,-29035087300,59453269586.0,5895583656.0,0.0,-9308320901.0,-3412737245.0,56040532341,-12991979405,-22912967.0,43025639969,1541566810.0,41484073159,,,,,,,,,,,,,,,,,,
DIG,2020,4,-0.2684989562581947,626743946959,505829416918,0.5357993106334413,9305535000.0,-12593643487.0,626743946959.0,-2696443159.0,624047503800.0,-454405551936.0,169641951864.0,-20805733196.0,-13245512432.0,-36692208883.0,-52760335442,55443696911.0,596020161490.0,0.0,-5249877383.0,590770284107.0,646213981018,-136243168896,-22912967.0,509947899155,4118482237.0,505829416918,,,,,,,,,,,,,,,,,,
DIG,2020,3,0.5937281791703551,972700741257,68901682516,0.10581405304608234,8507466001.0,-3938875221.0,972700741257.0,-6113237591.0,966587503666.0,-731430208569.0,235157295097.0,-92011224184.0,4066133600.0,-32909312888.0,-36428531443,86381826183.0,7742071134.0,0.0,-2619860517.0,5122210617.0,91504036800,-16354414520,737464935.0,75887087215,6985404699.0,68901682516,,,,,,,,,,,,,,,,,,
DIG,2020,2,0.6617389775958151,628313749838,64685107935,0.7190728086994185,7492378981.0,-9112514649.0,628313749838.0,-696831272.0,627616918566.0,-492073539823.0,135543378743.0,-9237564870.0,-19468585212.0,-14827552952.0,-24427156065,75074898625.0,14488849854.0,0.0,-5563272231.0,8925577623.0,84000476248,-19822846903,1773937579.0,65951566924,1266458989.0,64685107935,,,,,,,,,,,,,,,,,,
DIG,2020,1,-0.15122032989600992,269251935043,7779759944,1.7917894975172566,6022943030.0,-6073920345.0,269251935043.0,-7088394000.0,262163541043.0,-200193321968.0,61970219075.0,-6166463440.0,224128345.0,-21886604824.0,-35928739745,4235482441.0,8987976836.0,0.0,-1065450160.0,7922526676.0,12158009117,-6131051753,-22912967.0,6004044397,-1775715547.0,7779759944,,,,,,,,,,,,,,,,,,
DPM,2024,4,-0.07162324978784136,3166512759228,-19994382652,-1.185660333081212,129643909076.0,-25512074107.0,3166512759228.0,-2474437005.0,3164038322223.0,-2771181611118.0,392856711105.0,-30794610533.0,1541731648.0,-186682516195.0,-312057559282,-5492334181.0,6561800646.0,0.0,-4864616294.0,1697184352.0,-3795149829,-50258460499,38486064794.0,-15567545534,4426837118.0,-19994382652,,,,,,,,,,,,,,,,,,
