CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,"Chi trả cho việc mua lại, trả cổ phiếu",Thu lãi và cổ tức,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả,Cố tức đã nhận
KDH,2024,2,370602137000.0,2984700000.0,579942000.0,,,-10499310000.0,0.0,363667469000.0,-143220774000.0,-1063044223000.0,1017550717000.0,-24582738000.0,-174081163000.0,10171170000.0,0.0,-12899251000.0,-26438793000.0,-24184675000.0,0.0,-732557000.0,2482557000.0,0.0,0.0,9744971000.0,-12689704000.0,0.0,180438019000.0,-114337999000.0,0.0,0.0,66100020000.0,26971523000.0,2534613209000.0,,2561584732000.0,,,,0.0,,,,
KDH,2024,1,101659349000.0,2492394000.0,0.0,,,-12032643000.0,0.0,92119100000.0,-93438739000.0,-1703950747000.0,-57636031000.0,-146810308000.0,-189818746000.0,-385208350000.0,0.0,-46002212000.0,-2530746033000.0,-4727183000.0,0.0,-694716000.0,0.0,0.0,0.0,12683355000.0,7261456000.0,0.0,1776915168000.0,-448442087000.0,0.0,0.0,1328473081000.0,-1195011496000.0,3729624705000.0,,2534613209000.0,,,,0.0,,,,
KDH,2023,4,115847316000.0,3182633000.0,-96439000.0,,,-16193856000.0,0.0,102739654000.0,318599518000.0,-1634894325000.0,1973226594000.0,-199483804000.0,-159603068000.0,-395404418000.0,0.0,-16577399000.0,-11397248000.0,-53478931000.0,-6000000.0,0.0,-16695557000.0,-23303267000.0,-5511266000.0,15341305000.0,-83653716000.0,131610000000.0,1876010949000.0,-514493550000.0,0.0,0.0,1490377399000.0,1395326435000.0,2334298270000.0,,3729624705000.0,,,,-2750000000.0,,,,
KDH,2023,3,255572421000.0,3969562000.0,17442000.0,,,-13546606000.0,-1455164000.0,244557655000.0,3710329950000.0,-4147965766000.0,-415900292000.0,123560293000.0,-154291078000.0,-51014297000.0,0.0,-5646699000.0,-696370234000.0,-12783113000.0,566000000.0,3815000000.0,-3828841000.0,0.0,1826962545000.0,13052744000.0,1827784335000.0,0.0,104287000000.0,-923088000000.0,0.0,0.0,-818801000000.0,312613101000.0,2021685169000.0,,2334298270000.0,,,,0.0,,,,
KDH,2023,2,412962663000.0,4637500000.0,-127000.0,,,-7673361000.0,767304000.0,410693979000.0,-320541033000.0,-348407217000.0,904111505000.0,-245041054000.0,-216058838000.0,-14684956000.0,0.0,-1068819000.0,169003567000.0,-108508533000.0,0.0,-3815000000.0,3000000000.0,-230880000000.0,1368835422000.0,9523750000.0,1038155639000.0,3390000000.0,2114331765000.0,-2778952679000.0,0.0,0.0,-661730914000.0,545428292000.0,1476256877000.0,,2021685169000.0,,,,-500000000.0,,,,
KDH,2023,1,286994128000.0,3193511000.0,127000.0,,,-12752903000.0,687860000.0,278122723000.0,-312128264000.0,-203104077000.0,-187637505000.0,-10998623000.0,-210463946000.0,-345413548000.0,0.0,-25809231000.0,-1017432471000.0,-8683352000.0,0.0,0.0,40197715000.0,0.0,0.0,12612362000.0,44126725000.0,0.0,0.0,-303264000000.0,0.0,0.0,-303264000000.0,-1276569746000.0,2752826623000.0,,1476256877000.0,,,,0.0,,,,
KDH,2022,4,179934483000.0,-264729705000.0,-1409590000.0,,,-9257193000.0,0.0,-95462005000.0,-372384698000.0,288693662000.0,904262676000.0,-7106291000.0,-179682277000.0,-34472203000.0,0.0,-12372528000.0,491476336000.0,-22724448000.0,0.0,0.0,-1129938000.0,0.0,0.0,8375658000.0,-15478728000.0,0.0,89749023000.0,-524868000000.0,0.0,0.0,-435118977000.0,40878631000.0,2711194262000.0,,2752072893000.0,,,,0.0,,,,
KDH,2022,3,482959047000.0,272789173000.0,543704000.0,,,-414121000.0,0.0,755877803000.0,405968659000.0,-3754627848000.0,1895209426000.0,-3418585000.0,-122877277000.0,-7398862000.0,0.0,-7525179000.0,-838791863000.0,-9439199000.0,0.0,1617567000.0,26878497000.0,530571585000.0,0.0,711017000.0,550339467000.0,230050000000.0,1695270520000.0,-251552000000.0,0.0,0.0,1673768520000.0,1385316124000.0,1325878138000.0,,2711194262000.0,,,,0.0,,,,
KDH,2022,2,435622694000.0,-266095331000.0,266924000.0,,,-5557576000.0,-1186027000.0,163050684000.0,-1685100760000.0,2494763372000.0,-1799097708000.0,-18184593000.0,-139414741000.0,152409000.0,0.0,-12877709000.0,-996709046000.0,-11304247000.0,0.0,-1617567000.0,0.0,-530571585000.0,0.0,5317475000.0,-538175924000.0,350000000.0,2038386835000.0,-350165004000.0,0.0,0.0,1688571831000.0,153686861000.0,1172191277000.0,,1325878138000.0,,,,0.0,,,,
KDH,2022,1,309830797000.0,3083540000.0,2632000.0,,,-2485108000.0,1186027000.0,311617888000.0,1074652764000.0,-3736647325000.0,2133200053000.0,19391286000.0,-50845778000.0,-204179360000.0,0.0,-27234937000.0,-480045409000.0,-19312396000.0,0.0,0.0,0.0,0.0,0.0,2950582000.0,-16361814000.0,0.0,385117570000.0,-81896000000.0,0.0,0.0,303221570000.0,-193185653000.0,1365376930000.0,,1172191277000.0,,,,0.0,,,,
KDH,2021,4,532828484000.0,2681598000.0,-788763000.0,,,-6994911000.0,1203519000.0,528929927000.0,-256309848000.0,-897468130000.0,-363924337000.0,23188886000.0,-87202967000.0,-93000000000.0,0.0,-15558438000.0,-1161344907000.0,-11192513000.0,450000000.0,-69400000000.0,0.0,0.0,0.0,6563551000.0,-73578962000.0,0.0,57983146000.0,-309439348000.0,0.0,0.0,-251456202000.0,-1486380071000.0,2851757000000.0,,1365376929000.0,,,,0.0,,,,
KDH,2021,3,400513132000.0,2516444000.0,0.0,,,-1407551000.0,-496459000.0,401125566000.0,-103060533000.0,488471266000.0,-837344928000.0,113600260000.0,-55744958000.0,209000.0,0.0,-18120401000.0,-11073519000.0,-9743357000.0,0.0,0.0,0.0,0.0,0.0,1460627000.0,-8282730000.0,808283291000.0,829878267000.0,-615916608000.0,0.0,0.0,1022244950000.0,1002888701000.0,1848868299000.0,,2851757000000.0,,,,0.0,,,,
KDH,2021,2,338245183000.0,2657670000.0,0.0,,,-6131643000.0,13858992000.0,348630202000.0,-166436254000.0,73916626000.0,-253244046000.0,78873492000.0,-75338084000.0,-6866366000.0,0.0,-34433748000.0,-34898178000.0,-13801096000.0,0.0,0.0,9973272000.0,0.0,0.0,6101105000.0,2273281000.0,128120000000.0,804943293000.0,-430506637000.0,0.0,0.0,502556656000.0,469931759000.0,1378936540000.0,,1848868299000.0,,,,0.0,,,,
KDH,2021,1,268254644000.0,2620347000.0,974897000.0,,,-5179023000.0,1720743000.0,268391608000.0,-33221675000.0,-75006521000.0,-517685585000.0,49307183000.0,-23471745000.0,-446700023000.0,0.0,-29773783000.0,-808160541000.0,-14374999000.0,0.0,0.0,-9973272000.0,0.0,0.0,5319298000.0,-19028973000.0,0.0,481376663000.0,-110998486000.0,0.0,0.0,370378177000.0,-456811337000.0,1835747877000.0,,1378936540000.0,,,,0.0,,,,
KDH,2020,4,460211064000.0,4738777000.0,-26127000.0,,,-9814296000.0,53408000.0,455162826000.0,41728161000.0,-256993528000.0,-1232136379000.0,42864379000.0,-60166805000.0,-1391156000.0,0.0,-4177704000.0,-1015110206000.0,-5862187000.0,0.0,-42023224000.0,32490641000.0,0.0,0.0,10913405000.0,-4481365000.0,0.0,147339684000.0,-85456261000.0,0.0,0.0,61883423000.0,-957708148000.0,2783923442000.0,,1826215294000.0,,,,0.0,,,,
KDH,2020,3,469636317000.0,775721000.0,-70763000.0,,,-14721515000.0,48750000.0,455668510000.0,291246684000.0,468076867000.0,-470068433000.0,27558822000.0,-38784649000.0,-5345572000.0,0.0,-2758048000.0,725594181000.0,-36484236000.0,0.0,32490641000.0,-32490641000.0,0.0,0.0,14016953000.0,-22467283000.0,104220000000.0,502413374000.0,-87963417000.0,0.0,-262289235000.0,256380722000.0,959507620000.0,1824415822000.0,,2783923442000.0,,,,0.0,,,,
KDH,2020,2,323177821000.0,2659564000.0,186656000.0,,,-5645536000.0,50000000.0,320428505000.0,-330885515000.0,-323299444000.0,641986777000.0,-22764082000.0,-33663960000.0,-73047000.0,0.0,-2577700000.0,249151534000.0,-5795740000.0,0.0,0.0,10290641000.0,-9600000000.0,0.0,5413346000.0,308247000.0,800000000.0,755469047000.0,-341886466000.0,0.0,0.0,-4682213000.0,244777568000.0,1579638254000.0,,1824415822000.0,,,,-419064794000.0,,,,
KDH,2020,1,204747087000.0,2573025000.0,-92043000.0,,,-4790893000.0,0.0,202437176000.0,263591628000.0,-188722332000.0,82971949000.0,-56658378000.0,-3291245000.0,-70717897000.0,0.0,-24193443000.0,205417458000.0,-2733324000.0,102000000.0,0.0,22200000000.0,0.0,0.0,6913814000.0,26482490000.0,0.0,474581770000.0,-301837880000.0,0.0,0.0,172743890000.0,404643838000.0,1174994416000.0,,1579638254000.0,,,,0.0,,,,
KOS,2024,4,626776384.0,18671141951.0,0.0,-537488.0,,-2411290974.0,26042305171.0,42928395044.0,32125253570.0,-205709734.0,-61264143509.0,5112560986.0,-59662173614.0,-892493915.0,,-658032348.0,-42516343520.0,-1.0,0.0,-2905103101.0,23400000000.0,-111000000000.0,0.0,-19256887298.0,-109761990400.0,0.0,541079071817.0,-360454839437.0,0.0,,180624232380.0,28345898460.0,13404114361.0,537488.0,41750550309.0,,,,,,,,
