time,open,high,low,close,volume,symbol,category
2021-05,17.21,21.3,16.04,21.3,22575900,EIB,stock
2021-06,21.23,21.75,18.41,19.68,16053800,EIB,stock
2021-07,19.68,20.91,16.04,17.14,12735500,EIB,stock
2021-08,17.14,18.05,15.52,16.46,11272300,EIB,stock
2021-09,16.46,17.11,14.38,15.33,8757700,EIB,stock
2021-10,15.33,15.52,14.22,14.61,6090500,EIB,stock
2021-11,14.97,19.58,14.94,17.79,19992100,EIB,stock
2021-12,17.6,24.35,16.33,21.88,24550300,EIB,stock
2022-01,21.75,24.51,20.26,24.32,17034600,EIB,stock
2022-02,24.48,24.55,21.1,21.98,14296000,EIB,stock
2022-03,22.05,24.42,20.46,23.96,16761900,EIB,stock
2022-04,23.9,24.42,18.54,19.48,5454400,EIB,stock
2022-05,19.81,22.73,17.89,21.56,3910100,EIB,stock
2022-06,21.49,21.79,19.48,20.78,6345600,EIB,stock
2022-07,20.49,21.27,19.32,19.48,4010900,EIB,stock
2022-08,19.81,20.46,19.25,19.71,7342400,EIB,stock
2022-09,19.97,23.86,19.48,22.21,19824590,EIB,stock
2022-10,22.21,27.53,21.1,24.03,34467628,EIB,stock
2022-11,23.54,24.32,11.04,14.29,133094481,EIB,stock
2022-12,14.81,19.42,12.6,18.15,80504762,EIB,stock
2023-01,18.08,19.22,16.17,16.88,42567096,EIB,stock
2023-02,16.95,17.21,13.47,14.03,47174652,EIB,stock
2023-03,13.99,16.29,13.75,14.73,68493300,EIB,stock
2023-04,14.81,15.98,14.49,14.73,66462411,EIB,stock
2023-05,14.77,16.13,14.53,15.82,57096246,EIB,stock
2023-06,15.82,17.11,15.66,16.56,180778599,EIB,stock
2023-07,16.4,16.56,15.27,16.4,145692994,EIB,stock
2023-08,16.52,20.26,16.4,20.26,234798291,EIB,stock
2023-09,20.26,20.57,15.72,16.51,160188754,EIB,stock
2023-10,16.55,17.1,15.17,15.49,106608148,EIB,stock
2023-11,15.45,18.11,15.26,16.73,204299381,EIB,stock
2023-12,17.01,18.07,16.46,16.87,239046021,EIB,stock
2024-01,17.01,18.67,16.92,17.24,296866578,EIB,stock
2024-02,17.24,17.7,16.51,16.64,218869126,EIB,stock
2024-03,16.73,17.47,16.28,16.92,326091382,EIB,stock
2024-04,16.87,17.01,14.94,16.51,174139601,EIB,stock
2024-05,16.51,18.8,16.14,18.34,232379707,EIB,stock
2024-06,18.48,18.48,16.6,17.38,149195767,EIB,stock
2024-07,17.01,17.84,16.41,16.73,180736822,EIB,stock
2024-08,16.78,17.75,16.32,17.06,121715725,EIB,stock
2024-09,17.01,19.0,16.73,18.8,112665459,EIB,stock
2024-10,18.85,22.1,17.85,19.95,333440290,EIB,stock
2024-11,19.8,19.95,17.45,18.5,90450300,EIB,stock
2024-12,18.5,20.1,18.0,19.3,94948700,EIB,stock
2020-01,3.42,4.41,3.3,4.17,2317409,EVF,stock
2020-02,3.98,5.8,3.48,5.08,6600074,EVF,stock
2020-03,4.94,5.21,3.76,4.42,1576552,EVF,stock
2020-04,4.09,5.01,4.09,4.61,740301,EVF,stock
2020-05,4.68,5.4,4.42,4.88,2451884,EVF,stock
2020-06,4.88,5.54,4.15,4.22,4424172,EVF,stock
2020-07,4.22,4.61,3.76,4.02,1565249,EVF,stock
2020-08,3.89,4.88,3.89,4.48,2068688,EVF,stock
2020-09,4.48,5.4,4.35,4.88,4748382,EVF,stock
2020-10,4.88,5.6,4.81,5.34,4797544,EVF,stock
2020-11,5.27,5.6,5.21,5.4,2146300,EVF,stock
2020-12,5.4,6.72,5.34,6.46,7894632,EVF,stock
2021-01,6.39,7.25,4.61,5.4,15278326,EVF,stock
2021-02,5.47,6.39,5.21,5.93,4705132,EVF,stock
2021-03,5.93,8.11,5.93,7.91,21044824,EVF,stock
2021-04,7.91,8.44,6.99,7.38,12359936,EVF,stock
2021-05,7.32,8.37,6.85,8.11,7495044,EVF,stock
2021-06,8.17,9.23,7.65,8.24,12946634,EVF,stock
2021-07,8.17,8.83,7.43,7.73,11194322,EVF,stock
2021-08,7.73,8.87,7.66,8.41,11536065,EVF,stock
2021-09,8.41,10.54,8.11,10.08,21711146,EVF,stock
2021-10,10.08,14.1,9.78,14.02,17552858,EVF,stock
2021-11,13.95,15.16,12.36,14.02,21500790,EVF,stock
2021-12,14.02,15.92,13.42,14.55,35317030,EVF,stock
2022-01,15.92,15.92,11.37,11.86,16301200,EVF,stock
2022-02,12.17,13.64,12.01,13.49,18981800,EVF,stock
2022-03,13.49,15.26,12.92,13.81,22136000,EVF,stock
2022-04,13.73,13.81,9.53,10.5,12386200,EVF,stock
2022-05,10.58,10.82,8.15,9.61,7485400,EVF,stock
2022-06,9.65,9.69,7.27,8.07,5241000,EVF,stock
2022-07,8.0,8.88,7.67,8.64,3809200,EVF,stock
2022-08,8.56,9.48,8.47,8.65,5799600,EVF,stock
2022-09,8.82,9.74,8.04,8.53,7367163,EVF,stock
2022-10,8.47,8.91,6.49,7.0,6036915,EVF,stock
2022-11,6.95,7.01,5.25,6.29,4905414,EVF,stock
2022-12,6.54,7.8,5.77,7.41,10071986,EVF,stock
2023-01,7.26,8.01,7.05,7.35,5017036,EVF,stock
2023-02,7.38,7.5,6.73,6.85,2975835,EVF,stock
2023-03,6.83,6.9,6.29,6.39,2319260,EVF,stock
2023-04,6.4,7.16,6.39,6.67,4824852,EVF,stock
2023-05,6.63,8.91,6.6,8.74,15924306,EVF,stock
2023-06,8.78,9.0,7.91,7.91,15614502,EVF,stock
2023-07,7.92,9.43,7.64,9.04,24665706,EVF,stock
2023-08,9.09,11.09,8.66,10.7,42644776,EVF,stock
2023-09,10.75,12.36,10.57,11.3,34920540,EVF,stock
2023-10,11.11,11.3,10.18,10.18,17640389,EVF,stock
2023-11,10.18,15.74,9.58,15.74,159739085,EVF,stock
2023-12,15.83,16.67,14.26,14.81,111675723,EVF,stock
2024-01,14.86,16.85,14.07,14.91,159776984,EVF,stock
2024-02,15.05,18.38,14.35,17.78,195665519,EVF,stock
2024-03,17.78,18.1,14.72,15.37,239477565,EVF,stock
2024-04,15.28,15.37,11.99,12.18,145833470,EVF,stock
2024-05,12.31,15.65,12.08,14.68,279824955,EVF,stock
2024-06,14.91,15.23,12.59,13.24,217292118,EVF,stock
2024-07,13.06,13.8,11.71,11.94,105911186,EVF,stock
2024-08,11.94,11.99,10.23,11.3,89450349,EVF,stock
2024-09,11.2,11.53,10.42,11.3,78017564,EVF,stock
2024-10,11.34,11.53,10.4,10.85,87647009,EVF,stock
2024-11,10.9,11.5,9.96,10.7,87293600,EVF,stock
2024-12,10.85,10.9,8.96,9.1,142144600,EVF,stock
2020-01,24.68,25.02,22.02,22.02,29955760,FPT,stock
2020-02,21.0,23.92,20.75,23.33,32031040,FPT,stock
2020-03,23.33,24.13,16.98,17.4,48229870,FPT,stock
2020-04,17.27,22.1,17.27,21.51,40922380,FPT,stock
2020-05,21.25,24.65,21.08,23.78,45641380,FPT,stock
2020-06,23.81,24.8,22.32,22.64,33442380,FPT,stock
2020-07,22.82,24.28,21.63,22.07,35200180,FPT,stock
2020-08,22.12,25.89,22.07,25.08,36640270,FPT,stock
2020-09,25.08,26.19,24.57,25.33,36273720,FPT,stock
2020-10,25.43,27.61,24.82,26.09,51824450,FPT,stock
2020-11,26.09,28.72,25.94,28.06,43915370,FPT,stock
2020-12,27.86,29.99,27.76,29.94,48291960,FPT,stock
2021-01,30.19,34.55,29.69,31.76,50510300,FPT,stock
2021-02,32.62,40.02,31.56,38.6,45081400,FPT,stock
2021-03,38.96,41.29,37.74,39.36,50048800,FPT,stock
2021-04,39.46,43.01,39.46,40.98,45271700,FPT,stock
2021-05,40.53,49.65,40.53,49.59,49380100,FPT,stock
2021-06,51.74,52.44,46.5,51.79,58421900,FPT,stock
2021-07,51.85,55.91,49.2,55.33,80565100,FPT,stock
2021-08,55.33,57.92,53.47,54.96,67812200,FPT,stock
2021-09,54.78,57.7,54.43,55.32,37327300,FPT,stock
2021-10,55.26,60.37,54.96,57.64,47782200,FPT,stock
2021-11,57.94,60.55,56.45,57.76,49458700,FPT,stock
2021-12,58.0,58.65,55.2,55.32,28141400,FPT,stock
2022-01,55.56,56.03,49.96,53.24,26070200,FPT,stock
2022-02,53.53,55.91,52.94,55.5,15071000,FPT,stock
2022-03,55.91,65.79,53.41,63.65,48186100,FPT,stock
2022-04,63.59,70.72,57.7,62.46,74417000,FPT,stock
2022-05,62.4,66.86,54.72,65.37,46514100,FPT,stock
2022-06,65.37,69.95,60.29,62.09,49274600,FPT,stock
2022-07,62.67,63.96,59.21,60.14,29704900,FPT,stock
2022-08,60.5,64.61,59.86,63.1,40736700,FPT,stock
2022-09,63.03,63.18,56.04,58.66,25435768,FPT,stock
2022-10,58.0,58.51,51.74,55.09,26422341,FPT,stock
2022-11,55.6,55.96,44.67,54.36,28035440,FPT,stock
2022-12,54.72,57.57,53.92,56.04,23861367,FPT,stock
2023-01,56.04,62.3,55.96,60.84,15011829,FPT,stock
2023-02,61.21,61.21,57.93,58.66,16857835,FPT,stock
2023-03,57.93,58.8,56.18,57.64,15151890,FPT,stock
2023-04,57.86,59.39,56.47,56.47,11122098,FPT,stock
2023-05,56.69,61.86,56.55,61.28,16574975,FPT,stock
2023-06,61.21,63.98,60.55,62.67,19376057,FPT,stock
2023-07,63.03,72.73,62.67,72.56,27290489,FPT,stock
2023-08,72.56,84.22,69.09,82.93,45566951,FPT,stock
2023-09,83.28,86.45,77.53,79.59,55082127,FPT,stock
2023-10,80.1,84.82,71.18,71.18,58606171,FPT,stock
2023-11,72.3,80.45,70.84,78.82,47055690,FPT,stock
2023-12,79.07,84.56,78.3,82.42,43716669,FPT,stock
2024-01,83.11,84.39,80.7,82.08,32890868,FPT,stock
2024-02,82.25,93.91,82.08,93.48,48169857,FPT,stock
2024-03,93.65,101.63,92.8,99.92,69002540,FPT,stock
2024-04,99.49,109.78,93.4,105.66,60504597,FPT,stock
2024-05,106.18,119.81,105.92,115.44,87431955,FPT,stock
2024-06,115.78,135.16,115.52,129.6,152640342,FPT,stock
2024-07,129.5,138.74,122.35,127.71,132850309,FPT,stock
2024-08,128.71,133.97,116.59,133.87,97236016,FPT,stock
2024-09,132.08,136.05,128.71,133.57,71087862,FPT,stock
2024-10,133.77,141.81,131.69,134.96,68915547,FPT,stock
2024-11,134.07,144.4,125.83,143.3,96399178,FPT,stock
2024-12,144.3,153.9,141.6,152.5,85518218,FPT,stock
2020-01,11.57,12.78,9.37,9.43,3254390,FRT,stock
2020-02,9.4,12.83,8.9,11.57,8578690,FRT,stock
2020-03,11.16,11.62,5.72,6.13,8507410,FRT,stock
2020-04,6.24,13.58,6.05,11.68,15592070,FRT,stock
2020-05,11.1,15.53,10.44,14.4,24830510,FRT,stock
2020-06,14.68,15.91,11.6,12.09,23795200,FRT,stock
2020-07,11.93,14.48,11.13,11.21,15735740,FRT,stock
2020-08,11.21,14.04,11.05,13.64,11808050,FRT,stock
2020-09,13.53,14.9,13.04,13.76,15887170,FRT,stock
2020-10,13.76,14.62,11.84,11.95,11584100,FRT,stock
2020-11,11.92,13.61,11.92,13.61,12268610,FRT,stock
2020-12,13.98,19.09,13.73,18.34,65218720,FRT,stock
2021-01,18.46,20.35,14.1,15.02,39867500,FRT,stock
2021-02,14.93,17.17,13.04,16.05,22661200,FRT,stock
2021-03,16.33,18.63,15.42,17.45,48152600,FRT,stock
2021-04,17.54,18.8,15.19,15.47,31708900,FRT,stock
2021-05,15.19,16.39,13.78,14.27,19142400,FRT,stock
2021-06,14.24,16.62,13.76,15.53,25471700,FRT,stock
2021-07,15.53,22.07,15.47,21.46,72129400,FRT,stock
2021-08,21.21,25.1,20.95,23.61,63671300,FRT,stock
2021-09,23.5,27.45,22.64,27.25,46118300,FRT,stock
2021-10,27.4,30.26,25.96,29.86,31977900,FRT,stock
2021-11,30.38,35.19,30.09,33.24,32548500,FRT,stock
2021-12,33.7,61.61,33.24,57.43,31912200,FRT,stock
2022-01,56.51,56.74,41.9,50.26,25958100,FRT,stock
2022-02,53.76,75.6,52.16,70.09,23614200,FRT,stock
2022-03,69.18,91.42,66.2,86.03,25108600,FRT,stock
2022-04,85.97,100.3,76.57,89.7,20322600,FRT,stock
2022-05,88.84,91.42,54.16,71.01,23127600,FRT,stock
2022-06,71.64,89.66,69.64,78.7,34189500,FRT,stock
2022-07,77.92,78.44,60.4,62.13,27573300,FRT,stock
2022-08,60.4,79.3,58.33,78.52,45288600,FRT,stock
2022-09,79.39,80.68,57.21,63.25,38175089,FRT,stock
2022-10,62.56,72.48,52.72,70.59,40284089,FRT,stock
2022-11,71.1,72.92,48.06,61.27,31981558,FRT,stock
2022-12,61.7,65.58,57.21,59.54,18980940,FRT,stock
2023-01,59.54,65.06,55.23,63.68,10914842,FRT,stock
2023-02,64.29,67.74,59.19,59.54,22346946,FRT,stock
2023-03,59.54,63.34,52.64,52.64,17526315,FRT,stock
2023-04,53.76,59.54,52.64,55.05,19785605,FRT,stock
