short_name,industry,net_asset_percent
VEOF,Thực phẩm - Đồ uống,2.3
VEOF,"Sản xuất Thiết bị, máy móc",2.11
VEOF,Bảo hiểm,1.63
MAGEF,Ngân hàng,43.22
MAGEF,Vật liệu xây dựng,8.81
MAGEF,Công nghệ và thông tin,6.94
MAGEF,Bán lẻ,6.51
MAGEF,Khác,6.24
MAGEF,Bất động sản,4.66
MAGEF,Tiện ích,4.43
MAGEF,Thiết bị điện,2.73
MAGEF,Thực phẩm - Đồ uống,1.93
MAGEF,Chứng khoán,1.75
MAGEF,Chăm sóc sức khỏe,0.85
MAGEF,"Sản xuất Thiết bị, máy móc",0.77
MAFEQI,Ngân hàng,40.3
MAFEQI,Bất động sản,8.49
MAFEQI,Vật liệu xây dựng,7.1
MAFEQI,Công nghệ và thông tin,5.35
MAFEQI,Chứng khoán,5.2
MAFEQI,Sản xuất Nhựa - Hóa chất,4.54
MAFEQI,Tiện ích,4.43
MAFEQI,Vận tải - Kho bãi,4.2
MAFEQI,Bán lẻ,2.84
MAFEQI,Xây dựng,2.47
MAFEQI,Thiết bị điện,2.2
MAFEQI,Chế biến thủy sản,2.04
MAFEQI,Sản xuất Phụ trợ,1.76
MAFEQI,Khai khoáng,1.06
MAFEQI,Thực phẩm - Đồ uống,0.77
VNDAF,Ngân hàng,25.35
VNDAF,Bất động sản,9.49
VNDAF,Vật liệu xây dựng,7.11
VNDAF,Tiện ích,5.53
VNDAF,Chứng khoán,5.26
VNDAF,Thực phẩm - Đồ uống,4.71
VNDAF,Khai khoáng,3.42
VNDAF,Công nghệ và thông tin,3.4
VNDAF,Bán lẻ,3.18
VNDAF,Sản xuất Nhựa - Hóa chất,3.01
VNDAF,Vận tải - Kho bãi,2.71
VNDAF,Thiết bị điện,2.7
VNDAF,Sản xuất Phụ trợ,2.55
DCAF,Ngân hàng,42.18
DCAF,Sản xuất Nhựa - Hóa chất,8.51
DCAF,Thực phẩm - Đồ uống,8.0
DCAF,Bất động sản,7.95
DCAF,Công nghệ và thông tin,4.53
DCAF,Vận tải - Kho bãi,4.22
DCAF,Thiết bị điện,3.77
DCAF,Vật liệu xây dựng,3.74
DCAF,Bảo hiểm,2.55
DCAF,Tiện ích,1.82
DCAF,Chế biến thủy sản,1.29
DCAF,Xây dựng,0.51
DCAF,Bán lẻ,0.49
DCAF,Sản xuất Phụ trợ,0.44
DCAF,Chứng khoán,0.43
TBLF,Vật liệu xây dựng,16.82
TBLF,Sản xuất Phụ trợ,9.29
TBLF,Bán lẻ,9.07
TBLF,Thực phẩm - Đồ uống,7.64
TBLF,Ngân hàng,4.83
TBLF,Chế biến thủy sản,4.55
TBLF,Tiện ích,4.25
TBLF,Vận tải - Kho bãi,4.01
TBLF,Chăm sóc sức khỏe,2.79
UVDIF,Bất động sản,17.38
UVDIF,Ngân hàng,16.24
UVDIF,Nông - Lâm - Ngư,9.06
UVDIF,Chứng khoán,7.28
UVDIF,Thực phẩm - Đồ uống,5.13
UVDIF,Sản xuất Nhựa - Hóa chất,3.26
UVDIF,Khác,3.11
UVDIF,Công nghệ và thông tin,3.04
UVDIF,Vận tải - Kho bãi,2.14
UVDIF,Thiết bị điện,1.73
UVDIF,"Sản xuất Thiết bị, máy móc",1.34
UVDIF,Tiện ích,1.28
UVDIF,Sản xuất Hàng gia dụng,1.13
UVDIF,Bán lẻ,0.98
UVDIF,Xây dựng,0.96
UVDIF,Sản xuất Phụ trợ,0.94
TCGF,Ngân hàng,31.42
TCGF,Vật liệu xây dựng,7.5
TCGF,Tiện ích,5.88
TCGF,Thực phẩm - Đồ uống,4.45
TCGF,Chứng khoán,3.58
TCGF,Sản xuất Nhựa - Hóa chất,3.25
TCGF,Vận tải - Kho bãi,3.14
TCGF,"Sản xuất Thiết bị, máy móc",2.26
TCGF,Xây dựng,2.03
TCGF,Sản xuất Phụ trợ,1.56
TCGF,Bất động sản,1.48
TCGF,Bảo hiểm,1.2
LHCDF,Ngân hàng,26.55
LHCDF,Bất động sản,14.22
LHCDF,Chăm sóc sức khỏe,9.1
LHCDF,Thực phẩm - Đồ uống,8.9
LHCDF,Vật liệu xây dựng,6.04
LHCDF,Vận tải - Kho bãi,4.36
LHCDF,Tiện ích,3.98
LHCDF,Bán lẻ,3.95
LHCDF,Sản xuất Nhựa - Hóa chất,3.62
LHCDF,Sản xuất Hàng gia dụng,3.59
LHCDF,Sản xuất Phụ trợ,3.34
LHCDF,Xây dựng,2.72
LHCDF,"Sản xuất Thiết bị, máy móc",1.65
LHCDF,Sản xuất,0.96
LHCDF,Khai khoáng,0.38
VCAMDF,Vận tải - Kho bãi,14.83
VCAMDF,Bất động sản,12.57
VCAMDF,Ngân hàng,8.17
VCAMDF,Dịch vụ viễn thông,7.22
VCAMDF,Thực phẩm - Đồ uống,4.71
VCAMDF,Bán buôn,4.7
VCAMDF,Chứng khoán,3.81
VCAMDF,Tiện ích,3.13
VCAMDF,Thiết bị điện,1.47
VCAMDF,Công nghệ và thông tin,0.72
MDI,Ngân hàng,27.94
MDI,Vật liệu xây dựng,4.88
MDI,Công nghệ và thông tin,4.47
MDI,Bất động sản,4.0
MDI,Chứng khoán,3.73
MDI,Tiện ích,3.11
MDI,Vận tải - Kho bãi,2.38
MDI,Bán lẻ,2.0
MDI,Sản xuất Phụ trợ,1.98
MDI,Sản xuất Nhựa - Hóa chất,1.74
MDI,Thực phẩm - Đồ uống,1.72
