date,nav_per_unit,short_name
2022-09-23,60075.7,DCDS
2022-09-26,59551.46,DCDS
2022-09-27,57847.74,DCDS
2022-09-28,57287.8,DCDS
2022-09-29,56219.77,DCDS
2022-09-30,55268.09,DCDS
2022-10-03,55957.23,DCDS
2022-10-04,53402.85,DCDS
2022-10-05,53128.59,DCDS
2022-10-06,54356.85,DCDS
2022-10-07,52939.31,DCDS
2022-10-10,51465.02,DCDS
2022-10-11,52561.72,DCDS
2022-10-12,51155.08,DCDS
2022-10-13,52624.72,DCDS
2022-10-14,53267.89,DCDS
2022-10-17,54241.5,DCDS
2022-10-18,54168.7,DCDS
2022-10-19,54410.68,DCDS
2022-10-20,54364.4,DCDS
2022-10-21,54091.47,DCDS
2022-10-24,52031.09,DCDS
2022-10-25,50597.41,DCDS
2022-10-26,51329.82,DCDS
2022-10-27,51076.8,DCDS
2022-10-28,52597.99,DCDS
2022-10-31,52575.86,DCDS
2022-11-01,52403.24,DCDS
2022-11-02,52506.96,DCDS
2022-11-03,52037.84,DCDS
2022-11-04,52199.79,DCDS
2022-11-07,50904.81,DCDS
2022-11-08,49921.88,DCDS
2022-11-09,50560.43,DCDS
2022-11-10,50703.78,DCDS
2022-11-11,48933.62,DCDS
2022-11-14,49318.96,DCDS
2022-11-15,48420.94,DCDS
2022-11-16,46614.28,DCDS
2022-11-17,47520.85,DCDS
2022-11-18,48401.16,DCDS
2022-11-21,48622.07,DCDS
2022-11-22,48452.48,DCDS
2022-11-23,48316.95,DCDS
2022-11-24,48039.84,DCDS
2022-11-25,47934.2,DCDS
2022-11-28,49020.22,DCDS
2022-11-29,50652.75,DCDS
2022-11-30,51954.99,DCDS
2022-12-01,52802.88,DCDS
2022-12-02,52112.55,DCDS
2022-12-05,54290.87,DCDS
2022-12-06,54918.57,DCDS
2022-12-07,52996.7,DCDS
2022-12-08,52655.57,DCDS
2022-12-09,53434.12,DCDS
2022-12-12,53706.27,DCDS
2022-12-13,52726.55,DCDS
2022-12-14,53780.9,DCDS
2022-12-15,53977.6,DCDS
2022-12-16,54335.31,DCDS
2022-12-19,54459.71,DCDS
2022-12-20,53452.66,DCDS
2022-12-21,52681.45,DCDS
2022-12-22,52232.23,DCDS
2022-12-23,52485.84,DCDS
2022-12-26,52249.1,DCDS
2022-12-27,49860.87,DCDS
2022-12-28,51188.62,DCDS
2022-12-29,51604.98,DCDS
2022-12-30,51200.28,DCDS
2023-01-03,51528.68,DCDS
2023-01-04,53093.8,DCDS
2023-01-05,53192.96,DCDS
2023-01-06,53681.55,DCDS
2023-01-09,53299.74,DCDS
2023-01-10,53046.41,DCDS
2023-01-11,52934.72,DCDS
2023-01-12,53063.67,DCDS
2023-01-13,53056.47,DCDS
2023-01-16,53141.92,DCDS
2023-01-17,53395.75,DCDS
2023-01-18,54677.84,DCDS
